GEO_ID,NAME,S2501_C01_001E,S2501_C01_002EA,S2501_C01_003M,S2501_C01_004MA,S2501_C01_005EA
Geography,Zip code,Total estimate of occupied housing unit,One person,Two people,Three people,Four People
8600000US01904,ZCTA5 01904,6345,1548,1939,961,1897
8600000US01905,ZCTA5 01905,8539,1905,2241,1566,2827
8600000US01906,ZCTA5 01906,10210,2411,3473,1960,2366
8600000US01907,ZCTA5 01907,5494,1356,2021,687,1430
8600000US01908,ZCTA5 01908,1597,597,548,252,200
8600000US01913,ZCTA5 01913,7025,2076,2323,1268,1358
8600000US01915,ZCTA5 01915,16408,5443,5584,2350,3031
8600000US01921,ZCTA5 01921,2707,271,1025,425,986
8600000US01922,ZCTA5 01922,1050,271,430,98,251
8600000US01923,ZCTA5 01923,10624,3089,3322,1857,2356
8600000US01929,ZCTA5 01929,1439,399,440,228,372
8600000US01930,ZCTA5 01930,12906,4019,5125,1744,2018
8600000US01937,ZCTA5 01937,0,0,0,0,0
8600000US01938,ZCTA5 01938,5677,1600,2120,855,1102
8600000US01940,ZCTA5 01940,4949,1187,1545,799,1418
8600000US01944,ZCTA5 01944,2106,397,897,395,417
8600000US01945,ZCTA5 01945,8250,2260,2983,1064,1943
8600000US01949,ZCTA5 01949,2998,730,948,546,774
8600000US01950,ZCTA5 01950,7881,2839,2629,1023,1390
8600000US01951,ZCTA5 01951,1765,441,790,198,336
8600000US01952,ZCTA5 01952,3597,999,1359,550,689
8600000US01960,ZCTA5 01960,21251,6724,7036,3144,4347
8600000US01966,ZCTA5 01966,3201,1146,1172,344,539
8600000US01969,ZCTA5 01969,2186,424,555,619,588
8600000US01970,ZCTA5 01970,18277,6760,5943,2708,2866
8600000US01982,ZCTA5 01982,2677,408,837,564,868
8600000US01983,ZCTA5 01983,2237,367,745,412,713
8600000US01984,ZCTA5 01984,1381,373,421,222,365
8600000US01985,ZCTA5 01985,1596,231,624,222,519
8600000US02019,ZCTA5 02019,6347,1431,2013,1278,1625
8600000US02021,ZCTA5 02021,9026,2635,2737,1547,2107
8600000US02025,ZCTA5 02025,3046,734,908,452,952
8600000US02026,ZCTA5 02026,9865,3332,2878,1423,2232
8600000US02030,ZCTA5 02030,2011,219,787,318,687
8600000US02032,ZCTA5 02032,1644,232,647,394,371
8600000US02035,ZCTA5 02035,6626,1706,2143,1221,1556
8600000US02038,ZCTA5 02038,11288,2385,3370,1925,3608
8600000US02043,ZCTA5 02043,8712,2284,2770,1279,2379
8600000US02045,ZCTA5 02045,4892,1818,1895,557,622
8600000US02047,ZCTA5 02047,50,36,14,0,0
8600000US02048,ZCTA5 02048,8471,1752,2519,1700,2500
8600000US02050,ZCTA5 02050,9495,2016,3313,1593,2573
8600000US02052,ZCTA5 02052,4189,591,1390,687,1521
8600000US02053,ZCTA5 02053,4642,997,1482,777,1386
